,STATION,Day of Week,ENTRIES
718,77 ST,4,27559.881355932204
719,77 ST,5,13053.627118644068
720,77 ST,6,9908.457627118643
721,79 ST,0,18132.457627118645
722,79 ST,1,19456.5593220339
723,79 ST,2,19918.305084745763
724,79 ST,3,19985.254237288136
725,79 ST,4,19512.084745762713
726,79 ST,5,12335.474576271186
727,79 ST,6,10571.593220338984
728,8 AV,0,27595.389830508473
729,8 AV,1,29628.28813559322
730,8 AV,2,30752.237288135595
731,8 AV,3,30566.525423728814
732,8 AV,4,30732.06779661017
733,8 AV,5,21772.0
734,8 AV,6,18784.898305084746
735,8 ST-NYU,0,13387.618644067798
736,8 ST-NYU,1,14707.957627118643
737,8 ST-NYU,2,14961.084745762711
738,8 ST-NYU,3,15147.101694915254
739,8 ST-NYU,4,14655.084745762711
740,8 ST-NYU,5,10111.06779661017
741,8 ST-NYU,6,11168.016949152543
742,80 ST,0,3962.2542372881358
743,80 ST,1,4223.322033898305
744,80 ST,2,4342.576271186441
745,80 ST,3,4301.5084745762715
746,80 ST,4,4149.327586206897
747,80 ST,5,2263.3898305084745
748,80 ST,6,1690.8813559322034
749,81 ST-MUSEUM,0,13258.618644067798
750,81 ST-MUSEUM,1,14277.440677966102
751,81 ST-MUSEUM,2,14438.610169491525
752,81 ST-MUSEUM,3,14472.322033898305
753,81 ST-MUSEUM,4,15677.447368421053
754,81 ST-MUSEUM,5,8199.35593220339
755,81 ST-MUSEUM,6,7152.4152542372885
756,82 ST-JACKSON H,0,13403.51724137931
757,82 ST-JACKSON H,1,13615.405172413793
758,82 ST-JACKSON H,2,13849.034482758621
759,82 ST-JACKSON H,3,13551.23275862069
760,82 ST-JACKSON H,4,13837.741379310344
761,82 ST-JACKSON H,5,9821.448275862069
762,82 ST-JACKSON H,6,7423.948275862069
763,85 ST-FOREST PK,0,3291.237288135593
764,85 ST-FOREST PK,1,3496.186440677966
765,85 ST-FOREST PK,2,3597.728813559322
766,85 ST-FOREST PK,3,3577.322033898305
767,85 ST-FOREST PK,4,3500.2203389830506
768,85 ST-FOREST PK,5,1022.457627118644
769,85 ST-FOREST PK,6,758.6610169491526
770,86 ST,0,67930.27966101695
771,86 ST,1,73796.21186440678
772,86 ST,2,76964.56779661016
773,86 ST,3,75182.83898305085
774,86 ST,4,71250.92372881356
775,86 ST,5,41857.59322033898
776,86 ST,6,32633.07627118644
777,86 ST-2 AVE,0,21919.44827586207
778,86 ST-2 AVE,1,24165.344827586207
779,86 ST-2 AVE,2,24377.318965517243
780,86 ST-2 AVE,3,24677.293103448275
781,86 ST-2 AVE,4,24175.258620689656
782,86 ST-2 AVE,5,14989.396551724138
783,86 ST-2 AVE,6,11351.48275862069
784,88 ST,0,2652.9491525423728
785,88 ST,1,2826.6610169491523
786,88 ST,2,2889.7796610169494
787,88 ST,3,2871.491525423729
788,88 ST,4,2746.6101694915255
789,88 ST,5,1302.8983050847457
790,88 ST,6,997.9661016949152
791,9 AV,0,4967.762711864407
792,9 AV,1,5149.35593220339
793,9 AV,2,5270.838983050848
794,9 AV,3,5261.1016949152545
795,9 AV,4,5179.033898305085
796,9 AV,5,2771.9322033898306
797,9 AV,6,2321.4576271186443
798,90 ST-ELMHURST,0,14861.310344827587
799,90 ST-ELMHURST,1,15373.689655172413
800,90 ST-ELMHURST,2,15698.879310344828
801,90 ST-ELMHURST,3,15576.275862068966
802,90 ST-ELMHURST,4,15637.155172413793
803,90 ST-ELMHURST,5,10749.48275862069
804,90 ST-ELMHURST,6,8103.396551724138
805,96 ST,0,53370.542372881355
806,96 ST,1,58411.627118644064
807,96 ST,2,60269.52542372881
808,96 ST,3,59914.08474576271
809,96 ST,4,57361.28813559322
810,96 ST,5,31043.5593220339
811,96 ST,6,26581.338983050846
812,96 ST-2 AVE,0,16975.931034482757
813,96 ST-2 AVE,1,18655.48275862069
814,96 ST-2 AVE,2,19088.568965517243
815,96 ST-2 AVE,3,19134.01724137931
816,96 ST-2 AVE,4,18621.362068965518
817,96 ST-2 AVE,5,10514.206896551725
818,96 ST-2 AVE,6,8171.913793103448
819,9TH STREET,0,3858.0
820,9TH STREET,1,4022.2155172413795
821,9TH STREET,2,4362.175438596491
822,9TH STREET,3,4265.122807017544
823,9TH STREET,4,3962.396551724138
824,9TH STREET,5,2652.9137931034484
825,9TH STREET,6,2135.2413793103447
826,ALABAMA AV,0,1900.084745762712
827,ALABAMA AV,1,2006.2203389830509
828,ALABAMA AV,2,2055.7966101694915
829,ALABAMA AV,3,2050.6101694915255
830,ALABAMA AV,4,2021.1694915254238
831,ALABAMA AV,5,982.6271186440678
832,ALABAMA AV,6,755.457627118644
833,ALLERTON AV,0,4607.1551724137935
834,ALLERTON AV,1,4846.224137931034
835,ALLERTON AV,2,5008.931034482759
836,ALLERTON AV,3,4949.258620689655
837,ALLERTON AV,4,4995.017241379311
838,ALLERTON AV,5,2916.6206896551726
839,ALLERTON AV,6,2127.9655172413795
840,AQUEDUCT N.COND,0,819.7966101694915
841,AQUEDUCT N.COND,1,879.8474576271186
842,AQUEDUCT N.COND,2,912.2372881355932
843,AQUEDUCT N.COND,3,915.1355932203389
844,AQUEDUCT N.COND,4,844.4915254237288
845,AQUEDUCT N.COND,5,356.3728813559322
846,AQUEDUCT N.COND,6,268.1864406779661
847,AQUEDUCT RACETR,0,1407.949152542373
848,AQUEDUCT RACETR,1,1383.4745762711864
849,AQUEDUCT RACETR,2,1539.1379310344828
850,AQUEDUCT RACETR,3,1604.9310344827586
851,AQUEDUCT RACETR,4,1706.3103448275863
852,AQUEDUCT RACETR,5,1790.4915254237287
853,AQUEDUCT RACETR,6,1610.2372881355932
854,ASTOR PL,0,12389.698275862069
855,ASTOR PL,1,13954.758620689656
856,ASTOR PL,2,13892.146551724138
857,ASTOR PL,3,14283.275862068966
858,ASTOR PL,4,13584.275862068966
859,ASTOR PL,5,8657.068965517241
860,ASTOR PL,6,6974.103448275862
861,ASTORIA BLVD,0,10422.522727272728
862,ASTORIA BLVD,1,11730.023255813954
863,ASTORIA BLVD,2,12134.186046511628
864,ASTORIA BLVD,3,12073.209302325582
865,ASTORIA BLVD,4,11691.418604651162
866,ASTORIA BLVD,5,3934.8863636363635
867,ASTORIA BLVD,6,3026.1136363636365
868,ASTORIA DITMARS,0,14148.560344827587
869,ASTORIA DITMARS,1,15713.224137931034
870,ASTORIA DITMARS,2,16124.362068965518
871,ASTORIA DITMARS,3,16087.741379310344
872,ASTORIA DITMARS,4,15541.879310344828
873,ASTORIA DITMARS,5,5122.758620689655
874,ASTORIA DITMARS,6,3822.2413793103447
875,ATL AV-BARCLAY,0,36711.77118644068
876,ATL AV-BARCLAY,1,37508.42372881356
877,ATL AV-BARCLAY,2,39599.279661016946
878,ATL AV-BARCLAY,3,39592.86440677966
879,ATL AV-BARCLAY,4,38802.00847457627
880,ATL AV-BARCLAY,5,23026.050847457627
881,ATL AV-BARCLAY,6,19823.93220338983
882,ATLANTIC AV,0,1611.4745762711864
883,ATLANTIC AV,1,1739.593220338983
884,ATLANTIC AV,2,1773.7288135593221
885,ATLANTIC AV,3,1771.1016949152543
886,ATLANTIC AV,4,1786.3559322033898
887,ATLANTIC AV,5,750.3050847457627
888,ATLANTIC AV,6,562.0169491525423
889,AVENUE H,0,3693.9322033898306
890,AVENUE H,1,3285.8474576271187
891,AVENUE H,2,3445.5169491525426
892,AVENUE H,3,4401.35593220339
893,AVENUE H,4,2915.85593220339
894,AVENUE H,5,1414.8813559322034
895,AVENUE H,6,1157.7796610169491
896,AVENUE I,0,1480.5689655172414
897,AVENUE I,1,1563.155172413793
898,AVENUE I,2,1616.2758620689656
899,AVENUE I,3,1627.578947368421
900,AVENUE I,4,1516.2631578947369
901,AVENUE I,5,481.7413793103448
902,AVENUE I,6,566.3448275862069
903,AVENUE J,0,5434.440677966101
904,AVENUE J,1,5757.822033898305
905,AVENUE J,2,5903.627118644068
906,AVENUE J,3,5898.152542372882
907,AVENUE J,4,5416.542372881356
908,AVENUE J,5,2719.2033898305085
909,AVENUE J,6,2802.1610169491523
910,AVENUE M,0,5381.932203389831
911,AVENUE M,1,5618.4915254237285
912,AVENUE M,2,5871.830508474576
913,AVENUE M,3,5824.322033898305
914,AVENUE M,4,5383.881355932203
915,AVENUE M,5,2188.2203389830506
916,AVENUE M,6,2351.6271186440677
917,AVENUE N,0,2369.0344827586205
918,AVENUE N,1,2542.7413793103447
919,AVENUE N,2,2614.2758620689656
920,AVENUE N,3,2557.551724137931
921,AVENUE N,4,2423.862068965517
922,AVENUE N,5,921.2241379310345
923,AVENUE N,6,860.3275862068965
924,AVENUE P,0,1975.3793103448277
925,AVENUE P,1,2133.5
926,AVENUE P,2,2190.793103448276
927,AVENUE P,3,2154.637931034483
928,AVENUE P,4,2062.5344827586205
929,AVENUE P,5,863.2413793103449
930,AVENUE P,6,763.3103448275862
931,AVENUE U,0,10655.966101694916
932,AVENUE U,1,11109.440677966102
933,AVENUE U,2,11460.966101694916
934,AVENUE U,3,11287.135593220339
935,AVENUE U,4,11066.35593220339
936,AVENUE U,5,6599.237288135593
937,AVENUE U,6,5544.093220338983
938,AVENUE X,0,2393.103448275862
939,AVENUE X,1,2554.189655172414
940,AVENUE X,2,2666.4912280701756
941,AVENUE X,3,2648.1929824561403
942,AVENUE X,4,2508.4561403508774
943,AVENUE X,5,1027.1724137931035
944,AVENUE X,6,817.8448275862069
945,B'WAY-LAFAYETTE,0,16778.262711864405
946,B'WAY-LAFAYETTE,1,17999.15254237288
947,B'WAY-LAFAYETTE,2,18283.338983050846
948,B'WAY-LAFAYETTE,3,18854.57627118644
949,B'WAY-LAFAYETTE,4,18906.084745762713
950,B'WAY-LAFAYETTE,5,10578.957627118643
951,B'WAY-LAFAYETTE,6,8142.593220338983
952,BAY 50 ST,0,2456.915254237288
953,BAY 50 ST,1,2635.915254237288
954,BAY 50 ST,2,2672.813559322034
955,BAY 50 ST,3,2655.491525423729
956,BAY 50 ST,4,2591.0677966101694
957,BAY 50 ST,5,1339.9830508474577
958,BAY 50 ST,6,1087.8474576271187
959,BAY PKWY,0,14410.966101694916
960,BAY PKWY,1,15098.525423728814
961,BAY PKWY,2,15444.762711864407
962,BAY PKWY,3,15353.559322033898
963,BAY PKWY,4,15041.694915254237
964,BAY PKWY,5,8532.745762711864
965,BAY PKWY,6,7185.271186440678
966,BAY RIDGE AV,0,6700.9152542372885
967,BAY RIDGE AV,1,7154.949152542373
968,BAY RIDGE AV,2,7368.203389830508
969,BAY RIDGE AV,3,7352.0847457627115
970,BAY RIDGE AV,4,7162.169491525424
971,BAY RIDGE AV,5,3800.2033898305085
972,BAY RIDGE AV,6,3009.4745762711864
973,BAY RIDGE-95 ST,0,5314.762711864407
974,BAY RIDGE-95 ST,1,5745.64406779661
975,BAY RIDGE-95 ST,2,5890.28813559322
976,BAY RIDGE-95 ST,3,5837.525423728814
977,BAY RIDGE-95 ST,4,5532.525423728814
978,BAY RIDGE-95 ST,5,2556.5593220338983
979,BAY RIDGE-95 ST,6,1982.5762711864406
980,BAYCHESTER AV,0,3299.4827586206898
981,BAYCHESTER AV,1,3542.9655172413795
982,BAYCHESTER AV,2,3676.2413793103447
983,BAYCHESTER AV,3,3654.8189655172414
984,BAYCHESTER AV,4,3491.948275862069
985,BAYCHESTER AV,5,1224.6896551724137
986,BAYCHESTER AV,6,871.1206896551724
987,BEACH 105 ST,0,285.8474576271187
988,BEACH 105 ST,1,259.6779661016949
989,BEACH 105 ST,2,288.91525423728814
990,BEACH 105 ST,3,265.66101694915255
991,BEACH 105 ST,4,287.93220338983053
992,BEACH 105 ST,5,214.10169491525423
993,BEACH 105 ST,6,236.76271186440678
994,BEACH 25 ST,0,1601.050847457627
995,BEACH 25 ST,1,1706.1016949152543
996,BEACH 25 ST,2,1753.6379310344828
997,BEACH 25 ST,3,1740.2241379310344
998,BEACH 25 ST,4,1686.9655172413793
999,BEACH 25 ST,5,812.5932203389831
1000,BEACH 25 ST,6,740.5338983050848
1001,BEACH 36 ST,0,832.5762711864406
1002,BEACH 36 ST,1,877.5084745762712
1003,BEACH 36 ST,2,895.1525423728814
1004,BEACH 36 ST,3,897.4067796610169
1005,BEACH 36 ST,4,887.9322033898305
1006,BEACH 36 ST,5,470.33898305084745
1007,BEACH 36 ST,6,377.8305084745763
1008,BEACH 44 ST,0,656.8135593220339
1009,BEACH 44 ST,1,696.9491525423729
1010,BEACH 44 ST,2,706.542372881356
1011,BEACH 44 ST,3,795.5169491525423
1012,BEACH 44 ST,4,707.9322033898305
1013,BEACH 44 ST,5,492.771186440678
1014,BEACH 44 ST,6,302.66101694915255
1015,BEACH 60 ST,0,1786.6440677966102
1016,BEACH 60 ST,1,1891.1694915254238
1017,BEACH 60 ST,2,1928.135593220339
1018,BEACH 60 ST,3,1930.2711864406779
1019,BEACH 60 ST,4,1940.2542372881355
1020,BEACH 60 ST,5,1060.5593220338983
1021,BEACH 60 ST,6,848.9661016949152
1022,BEACH 67 ST,0,1932.8813559322034
1023,BEACH 67 ST,1,2013.3389830508474
1024,BEACH 67 ST,2,2070.898305084746
1025,BEACH 67 ST,3,2050.423728813559
1026,BEACH 67 ST,4,2080.6101694915255
1027,BEACH 67 ST,5,1239.0
1028,BEACH 67 ST,6,1016.7796610169491
1029,BEACH 90 ST,0,1074.8135593220338
1030,BEACH 90 ST,1,1025.3728813559321
1031,BEACH 90 ST,2,1108.3389830508474
1032,BEACH 90 ST,3,1081.0
1033,BEACH 90 ST,4,1079.9830508474577
1034,BEACH 90 ST,5,897.4237288135594
1035,BEACH 90 ST,6,846.1355932203389
1036,BEACH 98 ST,0,480.6271186440678
1037,BEACH 98 ST,1,479.06779661016947
1038,BEACH 98 ST,2,505.1525423728813
1039,BEACH 98 ST,3,500.33898305084745
1040,BEACH 98 ST,4,493.2881355932203
1041,BEACH 98 ST,5,304.64406779661016
1042,BEACH 98 ST,6,286.10169491525426
1043,BEDFORD AV,0,21027.84745762712
1044,BEDFORD AV,1,22415.737288135595
1045,BEDFORD AV,2,23632.57627118644
1046,BEDFORD AV,3,23828.186440677968
1047,BEDFORD AV,4,23477.262711864405
1048,BEDFORD AV,5,16110.033898305084
1049,BEDFORD AV,6,12009.677966101695
1050,BEDFORD PK BLVD,0,10258.898305084746
1051,BEDFORD PK BLVD,1,10991.593220338984
1052,BEDFORD PK BLVD,2,11470.07627118644
1053,BEDFORD PK BLVD,3,11389.127118644068
1054,BEDFORD PK BLVD,4,10849.677966101695
1055,BEDFORD PK BLVD,5,5965.889830508475
1056,BEDFORD PK BLVD,6,4604.0847457627115
1057,BEDFORD-NOSTRAN,0,7837.949152542373
1058,BEDFORD-NOSTRAN,1,8450.49152542373
1059,BEDFORD-NOSTRAN,2,8628.254237288136
1060,BEDFORD-NOSTRAN,3,8656.457627118643
1061,BEDFORD-NOSTRAN,4,8504.237288135593
1062,BEDFORD-NOSTRAN,5,4877.1016949152545
1063,BEDFORD-NOSTRAN,6,3931.5593220338983
1064,BERGEN ST,0,12788.379310344828
1065,BERGEN ST,1,16771.655172413793
1066,BERGEN ST,2,14089.025862068966
1067,BERGEN ST,3,14217.98275862069
1068,BERGEN ST,4,13695.48275862069
1069,BERGEN ST,5,7716.206896551724
1070,BERGEN ST,6,6405.689655172414
1071,BEVERLEY ROAD,0,3021.593220338983
1072,BEVERLEY ROAD,1,3209.64406779661
1073,BEVERLEY ROAD,2,3314.3389830508477
1074,BEVERLEY ROAD,3,3286.7586206896553
1075,BEVERLEY ROAD,4,3199.5862068965516
1076,BEVERLEY ROAD,5,1720.6610169491526
1077,BEVERLEY ROAD,6,1388.915254237288
1078,BEVERLY RD,0,3893.896551724138
1079,BEVERLY RD,1,4144.241379310345
1080,BEVERLY RD,2,4264.1551724137935
1081,BEVERLY RD,3,4195.224137931034
1082,BEVERLY RD,4,4150.103448275862
1083,BEVERLY RD,5,2105.103448275862
1084,BEVERLY RD,6,1611.7931034482758
1085,BLEECKER ST,0,11852.094827586207
1086,BLEECKER ST,1,13037.51724137931
1087,BLEECKER ST,2,13434.913793103447
1088,BLEECKER ST,3,13523.405172413793
1089,BLEECKER ST,4,13646.758620689656
1090,BLEECKER ST,5,9118.862068965518
1091,BLEECKER ST,6,7215.517241379311
1092,BOROUGH HALL,0,30439.20338983051
1093,BOROUGH HALL,1,33815.220338983054
1094,BOROUGH HALL,2,34691.372881355936
1095,BOROUGH HALL,3,33878.34745762712
1096,BOROUGH HALL,4,30906.398305084746
1097,BOROUGH HALL,5,11542.966101694916
1098,BOROUGH HALL,6,8593.237288135593
1099,BOTANIC GARDEN,0,1195.4406779661017
1100,BOTANIC GARDEN,1,1277.7118644067796
1101,BOTANIC GARDEN,2,1331.8474576271187
1102,BOTANIC GARDEN,3,1322.2542372881355
1103,BOTANIC GARDEN,4,1273.9661016949153
1104,BOTANIC GARDEN,5,758.8644067796611
1105,BOTANIC GARDEN,6,550.542372881356
1106,BOWERY,0,2893.6101694915255
1107,BOWERY,1,2975.9322033898306
1108,BOWERY,2,3113.7586206896553
1109,BOWERY,3,3145.8275862068967
1110,BOWERY,4,3200.310344827586
1111,BOWERY,5,2565.491525423729
1112,BOWERY,6,2269.3728813559323
1113,BOWLING GREEN,0,26772.120689655174
1114,BOWLING GREEN,1,29294.775862068964
1115,BOWLING GREEN,2,29708.51724137931
1116,BOWLING GREEN,3,29652.724137931036
1117,BOWLING GREEN,4,27164.155172413793
1118,BOWLING GREEN,5,9118.103448275862
1119,BOWLING GREEN,6,6728.017241379311
1120,BRIARWOOD,0,4504.0
1121,BRIARWOOD,1,4897.0847457627115
1122,BRIARWOOD,2,4976.067796610169
1123,BRIARWOOD,3,4919.932203389831
1124,BRIARWOOD,4,4752.71186440678
1125,BRIARWOOD,5,2236.4406779661017
1126,BRIARWOOD,6,1729.5084745762713
1127,BRIGHTON BEACH,0,11089.440677966102
1128,BRIGHTON BEACH,1,11562.050847457627
1129,BRIGHTON BEACH,2,11849.525423728814
1130,BRIGHTON BEACH,3,11675.915254237289
1131,BRIGHTON BEACH,4,10530.152542372882
1132,BRIGHTON BEACH,5,6462.440677966101
1133,BRIGHTON BEACH,6,5568.322033898305
1134,BROAD CHANNEL,0,282.47457627118644
1135,BROAD CHANNEL,1,306.864406779661
1136,BROAD CHANNEL,2,312.7457627118644
1137,BROAD CHANNEL,3,307.06779661016947
1138,BROAD CHANNEL,4,293.0
1139,BROAD CHANNEL,5,97.57627118644068
1140,BROAD CHANNEL,6,75.72881355932203
1141,BROAD ST,0,6507.686440677966
1142,BROAD ST,1,7083.949152542373
1143,BROAD ST,2,7183.720338983051
1144,BROAD ST,3,7132.864406779661
1145,BROAD ST,4,6640.4915254237285
1146,BROAD ST,5,1731.0593220338983
1147,BROAD ST,6,1250.5593220338983
1148,BROADWAY,0,8702.406779661016
1149,BROADWAY,1,9479.949152542373
1150,BROADWAY,2,9791.940677966102
1151,BROADWAY,3,9743.813559322034
1152,BROADWAY,4,9219.661016949152
1153,BROADWAY,5,3994.2542372881358
1154,BROADWAY,6,3195.2881355932204
1155,BROADWAY JCT,0,7517.559322033899
1156,BROADWAY JCT,1,7811.542372881356
1157,BROADWAY JCT,2,8029.203389830508
1158,BROADWAY JCT,3,8019.457627118644
1159,BROADWAY JCT,4,8118.576271186441
1160,BROADWAY JCT,5,7025.559322033899
1161,BROADWAY JCT,6,5463.661016949152
1162,BRONX PARK EAST,0,2224.9310344827586
1163,BRONX PARK EAST,1,2528.0172413793102
1164,BRONX PARK EAST,2,2487.8275862068967
1165,BRONX PARK EAST,3,2466.551724137931
1166,BRONX PARK EAST,4,2400.2241379310344
1167,BRONX PARK EAST,5,1179.051724137931
1168,BRONX PARK EAST,6,973.1120689655172
1169,BROOK AV,0,5405.206896551724
1170,BROOK AV,1,5643.439655172414
1171,BROOK AV,2,5834.810344827586
1172,BROOK AV,3,5825.620689655172
1173,BROOK AV,4,5829.4655172413795
1174,BROOK AV,5,3365.5344827586205
1175,BROOK AV,6,2689.0172413793102
1176,BROOKLYN BRIDGE,0,16682.491379310344
1177,BROOKLYN BRIDGE,1,18570.146551724138
1178,BROOKLYN BRIDGE,2,20123.672413793105
1179,BROOKLYN BRIDGE,3,18639.689655172413
1180,BROOKLYN BRIDGE,4,17560.327586206895
1181,BROOKLYN BRIDGE,5,7863.189655172414
1182,BROOKLYN BRIDGE,6,5957.336206896552
1183,BUHRE AV,0,3433.0
1184,BUHRE AV,1,3712.4655172413795
1185,BUHRE AV,2,3797.810344827586
1186,BUHRE AV,3,3776.1724137931033
1187,BUHRE AV,4,3794.6724137931033
1188,BUHRE AV,5,1610.4827586206898
1189,BUHRE AV,6,1150.1379310344828
1190,BURKE AV,0,2905.2241379310344
1191,BURKE AV,1,3061.2241379310344
1192,BURKE AV,2,3152.155172413793
1193,BURKE AV,3,3147.689655172414
1194,BURKE AV,4,3132.5
1195,BURKE AV,5,1680.896551724138
1196,BURKE AV,6,1253.9137931034484
1197,BURNSIDE AV,0,8948.775862068966
1198,BURNSIDE AV,1,9428.310344827587
1199,BURNSIDE AV,2,9763.974137931034
1200,BURNSIDE AV,3,9672.344827586207
1201,BURNSIDE AV,4,9081.23275862069
1202,BURNSIDE AV,5,5785.603448275862
1203,BURNSIDE AV,6,4300.9051724137935
1204,BUSHWICK AV,0,1802.6101694915253
1205,BUSHWICK AV,1,1972.5593220338983
1206,BUSHWICK AV,2,2024.4406779661017
1207,BUSHWICK AV,3,2020.1525423728813
1208,BUSHWICK AV,4,2005.593220338983
1209,BUSHWICK AV,5,1069.6949152542372
1210,BUSHWICK AV,6,868.6440677966102
1211,CANAL ST,0,61248.66949152543
1212,CANAL ST,1,63502.398305084746
1213,CANAL ST,2,67363.46610169491
1214,CANAL ST,3,67189.21186440678
1215,CANAL ST,4,67418.40677966102
1216,CANAL ST,5,45306.661016949154
1217,CANAL ST,6,37269.66949152543
1218,CANARSIE-ROCKAW,0,10430.406779661016
1219,CANARSIE-ROCKAW,1,11191.050847457627
1220,CANARSIE-ROCKAW,2,11451.983050847457
1221,CANARSIE-ROCKAW,3,11304.601694915254
1222,CANARSIE-ROCKAW,4,11038.0
1223,CANARSIE-ROCKAW,5,4940.4152542372885
1224,CANARSIE-ROCKAW,6,3669.5593220338983
1225,CARROLL ST,0,9980.706896551725
1226,CARROLL ST,1,10854.594827586207
1227,CARROLL ST,2,11324.137931034482
1228,CARROLL ST,3,11337.51724137931
1229,CARROLL ST,4,10585.344827586207
1230,CARROLL ST,5,5334.318965517241
1231,CARROLL ST,6,4054.7241379310344
1232,CASTLE HILL AV,0,5826.5
1233,CASTLE HILL AV,1,6144.758620689655
1234,CASTLE HILL AV,2,6304.206896551724
1235,CASTLE HILL AV,3,6296.948275862069
1236,CASTLE HILL AV,4,6213.810344827586
1237,CASTLE HILL AV,5,3348.7241379310344
1238,CASTLE HILL AV,6,2487.948275862069
1239,CATHEDRAL PKWY,0,14560.103448275862
1240,CATHEDRAL PKWY,1,15513.318965517241
1241,CATHEDRAL PKWY,2,16167.155172413793
1242,CATHEDRAL PKWY,3,16166.086206896553
1243,CATHEDRAL PKWY,4,16340.396551724138
1244,CATHEDRAL PKWY,5,9740.801724137931
1245,CATHEDRAL PKWY,6,8112.586206896552
1246,CENTRAL AV,0,3433.423728813559
1247,CENTRAL AV,1,3623.830508474576
1248,CENTRAL AV,2,3767.2413793103447
1249,CENTRAL AV,3,3759.9137931034484
1250,CENTRAL AV,4,3742.7368421052633
1251,CENTRAL AV,5,1969.4745762711864
1252,CENTRAL AV,6,1566.2033898305085
1253,CENTRAL PK N110,0,8160.982758620689
1254,CENTRAL PK N110,1,9265.26724137931
1255,CENTRAL PK N110,2,8511.413793103447
1256,CENTRAL PK N110,3,8390.620689655172
1257,CENTRAL PK N110,4,8136.6551724137935
1258,CENTRAL PK N110,5,6136.1551724137935
1259,CENTRAL PK N110,6,4628.198275862069
1260,CHAMBERS ST,0,51436.71186440678
1261,CHAMBERS ST,1,57691.79661016949
1262,CHAMBERS ST,2,57252.9406779661
1263,CHAMBERS ST,3,58545.1186440678
1264,CHAMBERS ST,4,51863.59322033898
1265,CHAMBERS ST,5,18197.186440677968
1266,CHAMBERS ST,6,13388.22033898305
1267,CHAUNCEY ST,0,2902.9830508474574
1268,CHAUNCEY ST,1,3064.2203389830506
1269,CHAUNCEY ST,2,3210.991525423729
1270,CHAUNCEY ST,3,3150.6101694915255
1271,CHAUNCEY ST,4,3166.4576271186443
1272,CHAUNCEY ST,5,2076.4745762711864
1273,CHAUNCEY ST,6,1636.677966101695
1274,CHRISTOPHER ST,0,11589.163793103447
1275,CHRISTOPHER ST,1,12310.094827586207
1276,CHRISTOPHER ST,2,12813.241379310344
1277,CHRISTOPHER ST,3,13110.206896551725
1278,CHRISTOPHER ST,4,12954.422413793103
1279,CHRISTOPHER ST,5,8763.448275862069
1280,CHRISTOPHER ST,6,7360.939655172414
1281,CHURCH AV,0,31879.898305084746
1282,CHURCH AV,1,33585.186440677964
1283,CHURCH AV,2,33834.65254237288
1284,CHURCH AV,3,34156.47457627119
1285,CHURCH AV,4,33820.898305084746
1286,CHURCH AV,5,20164.186440677968
1287,CHURCH AV,6,15680.5
1288,CITY / BUS,0,20106.33620689655
1289,CITY / BUS,1,19870.094827586207
1290,CITY / BUS,2,21811.431034482757
1291,CITY / BUS,3,19030.758620689656
1292,CITY / BUS,4,18358.008620689656
1293,CITY / BUS,5,7243.327586206897
1294,CITY / BUS,6,6928.853448275862
1295,CITY HALL,0,5321.389830508475
1296,CITY HALL,1,5981.059322033899
1297,CITY HALL,2,6099.71186440678
1298,CITY HALL,3,6079.542372881356
1299,CITY HALL,4,5607.35593220339
1300,CITY HALL,5,1838.050847457627
1301,CITY HALL,6,1333.6271186440679
1302,CLARK ST,0,4647.189655172414
1303,CLARK ST,1,5109.431034482759
1304,CLARK ST,2,5249.879310344828
1305,CLARK ST,3,5149.275862068966
1306,CLARK ST,4,5008.0344827586205
1307,CLARK ST,5,3099.4655172413795
1308,CLARK ST,6,2581.1724137931033
1309,CLASSON AV,0,4665.0
1310,CLASSON AV,1,5053.050847457627
1311,CLASSON AV,2,5200.330508474576
1312,CLASSON AV,3,5247.525423728814
1313,CLASSON AV,4,5210.525423728814
1314,CLASSON AV,5,2807.2542372881358
1315,CLASSON AV,6,2234.9830508474574
1316,CLEVELAND ST,0,2644.677966101695
1317,CLEVELAND ST,1,2811.9491525423728
1318,CLEVELAND ST,2,2908.0169491525426
1319,CLEVELAND ST,3,2861.6101694915255
1320,CLEVELAND ST,4,2872.362068965517
1321,CLEVELAND ST,5,1436.3728813559321
1322,CLEVELAND ST,6,1077.0677966101696
1323,CLINTON-WASH AV,0,10458.389830508475
1324,CLINTON-WASH AV,1,11341.161016949152
1325,CLINTON-WASH AV,2,11663.330508474577
1326,CLINTON-WASH AV,3,11621.822033898305
1327,CLINTON-WASH AV,4,11317.135593220339
1328,CLINTON-WASH AV,5,5984.983050847458
1329,CLINTON-WASH AV,6,4487.872881355932
1330,CONEY IS-STILLW,0,12439.847457627118
1331,CONEY IS-STILLW,1,12436.050847457627
1332,CONEY IS-STILLW,2,12907.796610169491
1333,CONEY IS-STILLW,3,12454.449152542373
1334,CONEY IS-STILLW,4,12708.296610169491
1335,CONEY IS-STILLW,5,12000.186440677966
1336,CONEY IS-STILLW,6,9635.728813559323
1337,CORTELYOU RD,0,5679.203389830508
1338,CORTELYOU RD,1,6035.677966101695
1339,CORTELYOU RD,2,6248.28813559322
1340,CORTELYOU RD,3,6174.203389830508
1341,CORTELYOU RD,4,6065.313559322034
1342,CORTELYOU RD,5,3476.228813559322
1343,CORTELYOU RD,6,2832.864406779661
1344,CORTLANDT ST,0,19281.813559322032
1345,CORTLANDT ST,1,20746.79661016949
