,STATION,Day of Week,ENTRIES
94,14 ST,3,56582.27118644068
95,14 ST,4,54609.13559322034
96,14 ST,5,31873.28813559322
97,14 ST,6,25717.406779661018
98,14 ST-UNION SQ,0,79816.27966101695
99,14 ST-UNION SQ,1,85013.75423728813
100,14 ST-UNION SQ,2,88315.48305084746
101,14 ST-UNION SQ,3,86814.35593220338
102,14 ST-UNION SQ,4,86388.41525423729
103,14 ST-UNION SQ,5,58381.457627118645
104,14 ST-UNION SQ,6,44928.63559322034
105,145 ST,0,30006.06779661017
106,145 ST,1,31471.35593220339
107,145 ST,2,32619.101694915254
108,145 ST,3,32439.5593220339
109,145 ST,4,31882.677966101695
110,145 ST,5,21632.42372881356
111,145 ST,6,17524.728813559323
112,149/GRAND CONC,0,11072.353448275862
113,149/GRAND CONC,1,12016.034482758621
114,149/GRAND CONC,2,12321.870689655172
115,149/GRAND CONC,3,12164.844827586207
116,149/GRAND CONC,4,10793.103448275862
117,149/GRAND CONC,5,6262.232758620689
118,149/GRAND CONC,6,4703.474137931034
119,14TH STREET,0,8826.0
120,14TH STREET,1,9104.137931034482
121,14TH STREET,2,10767.741379310344
122,14TH STREET,3,9626.137931034482
123,14TH STREET,4,8952.370689655172
124,14TH STREET,5,4260.077586206897
125,14TH STREET,6,3526.8706896551726
126,15 ST-PROSPECT,0,5501.482758620689
127,15 ST-PROSPECT,1,5995.318965517241
128,15 ST-PROSPECT,2,6197.586206896552
129,15 ST-PROSPECT,3,6171.810344827586
130,15 ST-PROSPECT,4,5877.931034482759
131,15 ST-PROSPECT,5,3077.5689655172414
132,15 ST-PROSPECT,6,2344.4137931034484
133,155 ST,0,5828.322033898305
134,155 ST,1,6202.847457627118
135,155 ST,2,6367.169491525424
136,155 ST,3,6391.440677966101
137,155 ST,4,6388.203389830508
138,155 ST,5,3787.4745762711864
139,155 ST,6,3009.9322033898306
140,157 ST,0,10314.379310344828
141,157 ST,1,10910.327586206897
142,157 ST,2,11206.793103448275
143,157 ST,3,11141.293103448275
144,157 ST,4,11076.344827586207
145,157 ST,5,6564.362068965517
146,157 ST,6,5619.206896551724
147,161/YANKEE STAD,0,20845.042372881355
148,161/YANKEE STAD,1,21294.008474576272
149,161/YANKEE STAD,2,23782.15254237288
150,161/YANKEE STAD,3,22456.313559322032
151,161/YANKEE STAD,4,21455.84745762712
152,161/YANKEE STAD,5,15583.525423728814
153,161/YANKEE STAD,6,12637.830508474577
154,163 ST-AMSTERDM,0,3566.4102564102564
155,163 ST-AMSTERDM,1,3784.25641025641
156,163 ST-AMSTERDM,2,3924.7375
157,163 ST-AMSTERDM,3,3828.3
158,163 ST-AMSTERDM,4,3922.641025641026
159,163 ST-AMSTERDM,5,2496.102564102564
160,163 ST-AMSTERDM,6,2035.7435897435898
161,167 ST,0,13260.21186440678
162,167 ST,1,13764.169491525423
163,167 ST,2,14472.686440677966
164,167 ST,3,14621.64406779661
165,167 ST,4,14218.703389830509
166,167 ST,5,8731.966101694916
167,167 ST,6,7575.542372881356
168,168 ST,0,22320.872881355932
169,168 ST,1,22089.254237288136
170,168 ST,2,22507.050847457627
171,168 ST,3,22287.449152542373
172,168 ST,4,21594.101694915254
173,168 ST,5,12325.169491525423
174,168 ST,6,9699.745762711864
175,169 ST,0,7274.9152542372885
176,169 ST,1,7665.483050847458
177,169 ST,2,7946.033898305085
178,169 ST,3,7875.830508474576
179,169 ST,4,7642.220338983051
180,169 ST,5,4303.033898305085
181,169 ST,6,3225.35593220339
182,170 ST,0,13933.457627118643
183,170 ST,1,14551.237288135593
184,170 ST,2,15287.305084745763
185,170 ST,3,15118.322033898305
186,170 ST,4,15042.661016949152
187,170 ST,5,8720.398305084746
188,170 ST,6,6603.228813559322
189,174 ST,0,5898.396551724138
190,174 ST,1,6277.775862068966
191,174 ST,2,6543.327586206897
192,174 ST,3,6306.810344827586
193,174 ST,4,6395.6140350877195
194,174 ST,5,3350.2241379310344
195,174 ST,6,2452.551724137931
196,174-175 STS,0,4141.743902439024
197,174-175 STS,1,4535.1875
198,174-175 STS,2,4596.0375
199,174-175 STS,3,4616.925
200,174-175 STS,4,4618.2
201,174-175 STS,5,2580.2926829268295
202,174-175 STS,6,1952.5853658536585
203,175 ST,0,11294.864406779661
204,175 ST,1,12088.457627118643
205,175 ST,2,12252.898305084746
206,175 ST,3,12340.43220338983
207,175 ST,4,12140.271186440677
